Date,Close,High,Low,Open,Volume
03-11-2020,27480.0293,27640.21094,27138.68945,27138.68945,350980000
04-11-2020,27847.66016,28301.5,27512.83008,27512.83008,447860000
05-11-2020,28390.17969,28495.05078,28083.36914,28083.36914,390140000
06-11-2020,28323.40039,28431.96094,28189.5,28399.13086,326710000
09-11-2020,29157.9707,29933.83008,29130.66016,29467.90039,673310000
10-11-2020,29420.91992,29478.85938,29126.99023,29254.16992,526980000
11-11-2020,29397.63086,29593.10938,29281.2207,29524.34961,376700000
12-11-2020,29080.16992,29311.83008,28902.13086,29231.91016,369320000
13-11-2020,29479.81055,29559.25,29203.90039,29203.90039,348810000
16-11-2020,29950.43945,29964.28906,29672.35938,29672.35938,418290000
17-11-2020,29783.34961,29872.41992,29520.28906,29800.15039,372380000
18-11-2020,29438.41992,29930.84961,29432.83984,29875.40039,382850000
19-11-2020,29483.23047,29524.90039,29228.38086,29370.91992,331330000
20-11-2020,29263.48047,29469.89063,29231.19922,29437.57031,305350000
23-11-2020,29591.26953,29667.75,29332.82031,29332.82031,387200000
24-11-2020,30046.24023,30116.50977,29746.10938,29746.10938,432760000
25-11-2020,29872.4707,30058.86914,29806.25,30058.86914,323030000
27-11-2020,29910.36914,30015.13086,29819.98047,29911.33008,177040000
30-11-2020,29638.64063,29854.50977,29463.64063,29854.50977,551350000
01-12-2020,29823.91992,30083.31055,29797.5,29797.5,429510000
02-12-2020,29883.78906,29902.50977,29599.28906,29695.08984,385280000
03-12-2020,29969.51953,30110.88086,29877.26953,29920.83008,405680000
04-12-2020,30218.25977,30218.25977,29989.56055,29989.56055,356590000
07-12-2020,30069.78906,30233.0293,29967.2207,30233.0293,365810000
08-12-2020,30173.88086,30246.2207,29972.07031,29997.94922,311190000
09-12-2020,30068.81055,30319.69922,29951.84961,30229.81055,380520000
10-12-2020,29999.25977,30063.86914,29876.82031,30032.55078,325550000
11-12-2020,30046.36914,30071.13086,29820.83984,29988.21094,393870000
14-12-2020,29861.55078,30325.78906,29849.15039,30123.91016,371980000
15-12-2020,30199.31055,30243.25977,29894.94922,29919.08984,417770000
16-12-2020,30154.53906,30236.0293,30080.10938,30191.38086,344590000
17-12-2020,30303.36914,30323.7793,30216,30216,345530000
18-12-2020,30179.05078,30343.58984,30029.43945,30314.25977,782070000
21-12-2020,30216.44922,30304.14063,29755.5293,30159,437480000
